hex_id,h3_resolution,source_h3_resolution,source_child_hex_count,wind_eligible,solar_eligible,wind_hard_stop,solar_hard_stop,wind_establishment_placement_score,solar_establishment_placement_score,wind_hard_stop_reasons,solar_hard_stop_reasons,wind_exclusion_reason,solar_exclusion_reason,grid_component,road_component,wind_settlement_component,solar_settlement_component,protected_component,culture_component,coastal_component,aviation_component,military_component,grid_distance_m,road_distance_m,settlement_distance_m,protected_distance_m,culture_distance_m,coastal_hard_distance_m,coastal_zone_distance_m,aviation_bird_distance_m,military_distance_m
891f2a625abffff,9,10,7,False,False,True,True,66.24,72.63,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,0.9604,0.2101,0.5326,0.0,1.0,224.9,178.8,93.4,960.4,189.1,3219.7,532.6,0.0,4246.8
891f2a625afffff,9,10,7,False,False,True,True,64.1,69.55,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.9793,0.0,0.0,0.7044,0.2364,0.8712,0.0,1.0,211.5,146.9,113.4,704.4,212.8,3555.4,871.2,0.0,4399.0
891f2a625b3ffff,9,10,7,False,False,True,True,65.02,70.7,buildings_low,buildings_low,buildings_low,buildings_low,1.0,1.0,0.0,0.0,0.6193,0.7171,0.5622,0.0,1.0,269.2,554.9,83.7,619.3,645.4,3216.4,562.2,0.0,4737.5
891f2a625b7ffff,9,10,7,True,True,False,False,67.8,80.77,,,,,1.0,1.0,0.1109,0.5451,0.5296,0.7403,0.9007,0.0,1.0,306.6,400.5,399.8,529.6,666.3,3555.0,900.7,0.0,4876.3
891f2a625bbffff,9,10,7,True,True,False,False,67.63,80.99,,,,,1.0,1.0,0.0284,0.4102,0.9359,0.4839,0.3782,0.0,1.0,71.0,392.1,325.6,935.9,435.5,3038.3,378.2,0.0,4426.5
891f2a625c3ffff,9,10,7,False,False,True,True,55.02,58.35,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.0827,0.0,0.0,1.0,0.7322,0.0,0.0,1.0,98.0,12.4,63.4,1032.2,659.0,1866.9,0.0,0.0,3832.7
891f2a625c7ffff,9,10,7,True,True,False,False,64.6,77.28,,,,,1.0,0.9687,0.0,0.3222,1.0,0.3801,0.0,0.0,1.0,70.4,145.3,277.2,1198.4,342.1,2205.5,0.0,0.0,3921.8
891f2a625cbffff,9,10,7,False,False,True,True,60.94,65.85,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.536,0.0,0.0,0.8813,0.9174,0.0,0.0,1.0,36.8,80.4,48.7,881.3,825.7,1691.1,0.0,0.0,3532.2
891f2a625cfffff,9,10,7,False,False,True,True,58.77,63.59,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.4573,0.0,0.0,1.0,0.5453,0.0,0.0,1.0,127.2,68.6,43.8,1211.0,490.8,2029.3,0.0,0.0,3621.1
891f2a625d3ffff,9,10,7,True,True,False,False,57.45,64.42,,,,,1.0,0.4067,0.0,0.1584,0.747,0.975,0.0,0.0,1.0,293.3,61.0,187.1,747.0,877.5,1688.1,0.0,0.0,4044.5
